n	A_Quick	B_Heap3
1	3.2e-06	1.2e-06
10001	0.0136123	0.0177989
20001	0.0257952	0.0402935
30001	0.0395056	0.0552132
40001	0.0553884	0.0808428
50001	0.0714077	0.107532
60001	0.083363	0.128286
70001	0.0949064	0.144317
80001	0.122665	0.166492
90001	0.12524	0.197825
100001	0.145374	0.214561
110001	0.162007	0.235543
120001	0.176791	0.264533
130001	0.184923	0.289498
140001	0.213092	0.310137
150001	0.219084	0.337641
160001	0.228524	0.366578
170001	0.242588	0.414426
180001	0.254555	0.429327
190001	0.28111	0.448304
200001	0.288406	0.473754
210001	0.311742	0.503346
220001	0.330963	0.542977
230001	0.339899	0.550297
240001	0.35428	0.592732
250001	0.374604	0.603797
260001	0.401854	0.620842
270001	0.418381	0.667203
280001	0.436955	0.689477
290001	0.439059	0.730154
300001	0.448688	0.768909
310001	0.465439	0.771934
320001	0.488982	0.813214
330001	0.489621	0.831053
340001	0.522521	0.859475
350001	0.537276	0.886217
360001	0.538409	0.919169
370001	0.576747	0.943252
380001	0.586209	0.965321
390001	0.622368	0.976714
400001	0.607345	1.01227
410001	0.640034	1.03145
420001	0.663856	1.09523
430001	0.675224	1.13153
440001	0.68697	1.14841
450001	0.704157	1.16335
460001	0.756432	1.14801
470001	0.744867	1.21063
480001	0.753363	1.24687
490001	0.78556	1.26489
500001	0.764638	1.27539
510001	0.786731	1.33648
520001	0.801579	1.35127
530001	0.820701	1.39243
540001	0.840423	1.39085
550001	0.862666	1.43786
560001	0.875987	1.47743
570001	0.913083	1.50865
580001	0.908916	1.52007
590001	0.919912	1.5546
600001	0.930571	1.6089
610001	0.949363	1.59653
620001	0.981937	1.66617
630001	0.98263	1.65328
640001	0.999355	1.72168
650001	1.04113	1.73819
660001	1.04389	1.77448
670001	1.05532	1.77993
680001	1.0698	1.82059
690001	1.10635	1.83805
700001	1.10413	1.85604
710001	1.12767	1.87942
720001	1.13372	1.89932
730001	1.15662	1.95714
740001	1.17815	1.99229
750001	1.19746	2.03178
760001	1.21449	2.06962
770001	1.2443	2.08214
780001	1.23208	2.10814
790001	1.264	2.1112
800001	1.26823	2.15283
810001	1.30542	2.1638
820001	1.32044	2.2002
830001	1.3261	2.24719
840001	1.35129	2.28438
850001	1.38189	2.30557
860001	1.38147	2.32214
870001	1.39182	2.3358
880001	1.39006	2.37234
890001	1.43138	2.41557
900001	1.44491	2.48363
910001	1.4461	2.51311
920001	1.46765	2.51818
930001	1.49778	2.55464
940001	1.51701	2.54904
950001	1.52293	2.58948
960001	1.54479	2.61191
970001	1.56671	2.65146
980001	1.57322	2.67524
990001	1.58573	2.69309
1000001	1.63236	2.79537
