n	TA_Quick	TB_Heap3
1	7.1e-06	1.8e-06
10001	0.0180152	0.0246799
20001	0.0382749	0.0543668
30001	0.0564691	0.0873601
40001	0.0879846	0.119416
50001	0.104686	0.148257
60001	0.119742	0.222449
70001	0.14656	0.218586
80001	0.171232	0.249498
90001	0.17982	0.294068
100001	0.207808	0.321024
110001	0.238342	0.349132
120001	0.255697	0.380472
130001	0.274757	0.418081
140001	0.30161	0.419667
150001	0.246005	0.364801
160001	0.240866	0.373015
170001	0.272878	0.413271
180001	0.271201	0.432736
190001	0.290064	0.460007
200001	0.314877	0.476787
210001	0.319422	0.506136
220001	0.342556	0.544186
230001	0.368415	0.566483
240001	0.373637	0.597053
250001	0.38802	0.64748
260001	0.410045	0.668786
270001	0.424859	0.668012
280001	0.441638	0.695859
290001	0.453029	0.731814
300001	0.464522	0.748391
310001	0.489285	0.781309
320001	0.502047	0.830201
330001	0.516731	0.847304
340001	0.537477	0.867729
350001	0.552455	0.891011
360001	0.577578	0.923011
370001	0.585991	0.936725
380001	0.607027	0.977906
390001	0.614128	1.00958
400001	0.619642	1.04449
410001	0.656843	1.05456
420001	0.662463	1.12106
430001	0.685223	1.10219
440001	0.719129	1.12796
450001	0.721842	1.178
460001	0.724243	1.20336
470001	0.770877	1.21901
480001	0.783256	1.2448
490001	0.781937	1.26712
500001	0.805964	1.33969
510001	0.811144	1.3473
520001	0.834737	1.36661
530001	0.871293	1.40157
540001	0.871256	1.42631
550001	0.888652	1.47574
560001	0.921871	1.46013
570001	0.931093	1.46575
580001	0.930848	1.54949
590001	0.9556	1.60323
600001	0.982976	1.6126
610001	1.02072	1.64399
620001	1.01915	1.69762
630001	0.995892	1.69326
640001	1.044	1.70242
650001	1.05581	1.73688
660001	1.06661	1.76208
670001	1.09208	1.82154
680001	1.12395	1.77739
690001	1.11667	1.86802
700001	1.14549	1.87861
710001	1.15359	1.91069
720001	1.19165	1.89851
730001	1.24392	1.97734
740001	1.22647	1.97477
750001	1.26345	1.99697
760001	1.25874	2.05538
770001	1.28689	2.07385
780001	1.28061	2.09704
790001	1.31768	2.14748
800001	1.32177	2.19696
810001	1.32384	2.20837
820001	1.34659	2.23178
830001	1.36824	2.26297
840001	1.41826	2.30657
850001	1.39083	2.29192
860001	1.41794	2.34243
870001	1.44376	2.36601
880001	1.44026	2.39726
890001	1.4969	2.43845
900001	1.48119	2.46241
910001	1.49562	2.49524
920001	1.52947	2.51602
930001	1.54038	2.57673
940001	1.55218	2.61461
950001	1.57007	2.63911
960001	1.58941	2.63873
970001	1.60411	2.6547
980001	1.58369	2.72265
990001	1.62775	2.72138
1000001	1.61672	2.766
