q_w	A_Quick	B_Heap3
0	1.99835	0.565909
10000	2.34094	3.41644
20000	1.61834	2.74276
30000	1.65919	2.73383
40000	1.62962	2.78388
50000	1.66042	2.74641
60000	1.6408	2.74815
70000	1.65923	2.77223
80000	1.67874	2.72754
90000	1.64858	2.80828
100000	1.66096	2.75008
110000	1.66173	2.74888
120000	1.643	2.75141
130000	1.64512	2.79406
140000	1.68353	2.74438
150000	1.65144	2.75798
160000	1.66437	2.74324
170000	1.65376	2.74784
180000	1.65379	2.7237
190000	1.64669	2.75114
200000	1.65618	2.75038
210000	1.62909	2.76736
220000	1.6236	2.75387
230000	1.6247	2.75736
240000	1.6561	2.75668
250000	1.66075	2.74019
260000	1.68037	2.73164
270000	1.637	2.76776
280000	1.67752	2.76851
290000	1.68525	2.83469
300000	1.7124	2.7529
310000	1.65002	2.73228
320000	1.69285	2.74717
330000	1.69662	2.75542
340000	1.66238	2.77344
350000	1.64907	2.76536
360000	1.70976	2.76432
370000	1.68264	2.82585
380000	1.72045	2.70901
390000	1.66225	2.77859
400000	1.62826	2.74944
410000	1.705	2.72526
420000	1.64572	2.74764
430000	1.66545	2.74984
440000	1.65366	2.73483
450000	1.64826	2.74931
460000	1.65218	2.76738
470000	1.70615	2.7361
480000	1.66689	2.76012
490000	1.68091	2.73889
500000	1.653	2.79169
510000	1.68074	2.72084
520000	1.66949	2.77064
530000	1.64989	2.76673
540000	1.66615	2.77147
550000	1.6618	2.7361
560000	1.66272	2.75183
570000	1.63532	2.76849
580000	1.65706	2.7369
590000	1.62714	2.7691
600000	1.66198	2.7241
610000	1.6647	2.74205
620000	1.66633	2.80616
630000	1.66238	2.78112
640000	1.66616	2.77984
650000	1.64179	2.75562
660000	1.66226	2.7233
670000	1.66656	2.75691
680000	1.65543	2.80197
690000	1.64248	2.75725
700000	1.6508	2.74064
710000	1.64597	2.82516
720000	1.64593	2.75532
730000	1.67745	2.74726
740000	1.68743	2.77364
750000	1.64761	2.77515
760000	1.68477	2.74444
770000	1.64755	2.75778
780000	1.66609	2.76061
790000	1.64163	2.76601
800000	1.645	2.77787
810000	1.65806	2.73201
820000	1.6798	2.78648
830000	1.65475	2.75161
840000	1.64137	2.74308
850000	1.64845	2.73888
860000	1.64632	2.75068
870000	1.66424	2.73574
880000	1.6568	2.73506
890000	1.64141	2.75065
900000	1.6477	2.74333
910000	1.68291	2.74248
920000	1.67144	2.7468
930000	1.6441	2.71928
940000	1.64944	2.73608
950000	1.66552	2.74567
960000	1.68426	2.72906
970000	1.67835	2.72114
980000	1.64826	2.73938
990000	1.64953	2.76071
1000000	1.63032	2.76288
