q_w	A_Quick	B_Heap3
0	1.40313	0.37244
10000	1.64224	2.7413
20000	1.5989	2.72859
30000	1.628	2.7345
40000	1.62725	2.7521
50000	1.65086	2.75127
60000	1.62841	2.72221
70000	1.64387	2.7528
80000	1.63379	2.71037
90000	1.60336	2.75481
100000	1.63039	2.67889
110000	1.60229	2.72836
120000	1.61089	2.77413
130000	1.61311	2.73412
140000	1.62107	2.72122
150000	1.6325	2.7218
160000	1.62478	2.75282
170000	1.64425	2.75598
180000	1.6868	2.75644
190000	1.59911	2.74767
200000	1.61966	2.74131
210000	1.654	2.79064
220000	1.64571	2.77032
230000	1.6241	2.76572
240000	1.63487	2.77423
250000	1.64024	2.83206
260000	1.62107	2.76803
270000	1.65724	2.76414
280000	1.63326	2.76954
290000	1.62978	2.75114
300000	1.64734	2.7486
310000	1.62186	2.6808
320000	1.60632	2.71855
330000	1.62658	2.74817
340000	1.64882	2.79318
350000	1.68521	2.73416
360000	1.65458	2.75035
370000	1.63243	2.76309
380000	1.65971	2.74372
390000	1.62068	2.73968
400000	1.64943	2.71811
410000	1.67552	2.77038
420000	1.61865	2.73303
430000	1.63483	2.73657
440000	1.63932	2.73042
450000	1.65557	2.71018
460000	1.59133	2.74906
470000	1.59535	2.74441
480000	1.60647	2.76359
490000	1.60801	2.72467
500000	1.62609	2.73785
510000	1.62268	2.75788
520000	1.62094	2.73187
530000	1.60092	2.76158
540000	1.66191	2.71765
550000	1.60863	2.73386
560000	1.60855	2.7377
570000	1.6255	2.72799
580000	1.61285	2.76126
590000	1.63002	2.74653
600000	1.62077	2.72112
610000	1.64971	2.71831
620000	1.63107	2.73733
630000	1.62754	2.79428
640000	1.6363	2.75471
650000	1.64553	2.73907
660000	1.60849	2.76572
670000	1.64659	2.77248
680000	1.68253	2.82817
690000	1.61735	2.79472
700000	1.68273	2.73124
710000	1.61681	2.73037
720000	1.61177	2.79296
730000	1.60937	2.69106
740000	1.59778	2.74475
750000	1.61922	2.83029
760000	1.60967	2.69031
770000	1.637	2.82792
780000	1.65372	2.75593
790000	1.66645	2.83562
800000	1.62771	2.77175
810000	1.62187	2.73175
820000	1.63219	2.86111
830000	1.61203	2.82667
840000	1.62188	2.65482
850000	1.59216	2.72251
860000	1.62805	2.73233
870000	1.61972	2.75865
880000	1.65502	2.76685
890000	1.6407	2.7287
900000	1.63865	2.74193
910000	1.59144	2.73592
920000	1.62858	2.75213
930000	1.62266	2.75907
940000	1.61407	2.72169
950000	1.67502	2.74306
960000	1.63308	2.73149
970000	1.62662	2.736
980000	1.67802	2.80122
990000	1.63916	2.76601
1000000	1.6386	2.75553
